position,variable_name,must_exist,must_be_nonmissing
1,patient_id,TRUE,TRUE
2,prescription_id,TRUE,TRUE
3,combination_id,FALSE,FALSE
4,prescription_text,TRUE,FALSE
5,drug_id,TRUE,TRUE
6,drug_name,TRUE,TRUE
7,drug_display_name,TRUE,FALSE
8,ATC_code,TRUE,TRUE
9,ATC_group,TRUE,TRUE
10,ATC_route,TRUE,TRUE
11,dose,TRUE,FALSE
12,unit,TRUE,FALSE
13,route,TRUE,FALSE
14,frequency,TRUE,TRUE
15,authoring_date,TRUE,TRUE
16,prescription_start,TRUE,TRUE
17,prescription_end,TRUE,FALSE
18,prescription_context,TRUE,TRUE
19,prescription_status,TRUE,TRUE
20,daily_frequency,TRUE,TRUE
21,DDD,FALSE,FALSE
